25,10,2018,Coquimbopalooza 2018,1000000,3000000,1800,793
10,12,2018,Bomba Atómica ULS - Despedida Año Académico,102000,200000,1000,900
20,7,2018,Kamikaze Julio 2018,1000000,1500000,650,649
15,1,2018,ElectroDance Forever,1006000,200000,1040,823
11,4,2018,GasLicuado Party,1130000,2900000,800,400
3,10,2017,Coquimbopalooza 2017,1000000,2690000,1890,500
1,12,2017,Punch in the Face,8888888881000000,1000000,990,940
10,5,2017,Mechoneo Intenso Civiles 2017,590000,700000,259,240
30,10,2016,Coquimbopalooza 2016,1000000,1989600,1700,400
7,12,2016,TecnoStar Music,1000000,2300008888888888888,2000,100
29,10,2015,Coquimbopalooza 2015,99000000,179999981900,1500,1000
29,9,2015,Colecta Solidaria terremoto 15S,400000,1000000,590,521
19,10,2014,Coquimbopalooza 2014,1000000,1210000,1500,100
6,10,2013,Coquimbopalooza 2013,1000000,999900,1890,500
